 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2012,2013,2014,2015
Afghanistan,137.0,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105.0,102.3,,99.5,96.7,93.9,91.1
Albania,26.2,24.9,23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16.0,,15.5,14.9,14.4,14.0
Algeria,39.7,38.9,37.8,36.5,35.1,33.6,32.1,30.7,29.4,28.3,27.3,26.6,,26.1,25.8,25.6,25.5
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Andorra,4.6,4.4,4.2,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.2,,3.1,3.0,2.9,2.8
Angola,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192.0,187.3,182.5,177.3,,172.2,167.1,162.2,156.9
Antigua and Barbuda,15.5,14.8,14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,,9.1,8.7,8.4,8.1
Argentina,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15.0,14.6,14.2,,13.8,13.3,12.9,12.5
Armenia,30.1,28.7,27.3,25.9,24.6,23.4,22.2,21.1,20.0,19.0,18.0,17.2,,16.3,15.5,14.7,14.1
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Australia,6.2,6.1,6.0,6.0,5.9,5.7,5.6,5.4,5.2,5.0,4.8,4.5,,4.3,4.1,3.9,3.8
Austria,5.5,5.4,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.2,,4.0,3.9,3.7,3.5
Azerbaijan,74.0,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41.0,39.0,37.3,,35.7,34.2,32.9,31.7
"Bahamas, The",15.7,15.5,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,,13.2,12.8,12.4,12.1
Bahrain,12.6,12.1,11.8,11.5,11.2,10.9,10.5,10.0,9.4,8.8,8.3,7.8,,7.3,6.9,6.5,6.2
Bangladesh,88.0,83.5,79.0,74.8,70.7,66.8,63.0,59.4,55.9,52.6,49.6,46.7,,44.0,41.6,39.5,37.6
Barbados,16.3,16.6,16.8,16.8,16.7,16.5,16.2,15.8,15.4,15.1,14.7,14.4,,14.1,13.7,13.3,13.0
Belarus,14.3,13.0,11.9,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,,5.3,5.0,4.7,4.6
Belgium,5.8,5.6,5.4,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.4,,4.3,4.3,4.2,4.1
Belize,25.0,24.2,23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19.0,18.5,,18.0,17.5,17.0,16.5
Benin,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119.0,116.3,113.9,111.6,109.3,,107.0,104.8,102.1,99.5
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Bhutan,79.6,75.0,70.6,66.4,62.3,58.5,54.8,51.3,48.1,45.1,42.3,39.9,,37.8,36.0,34.4,32.9
Bolivia,80.2,76.2,72.2,68.5,64.8,61.4,58.1,54.9,52.0,49.3,47.0,44.9,,43.1,41.3,39.8,38.4
Bosnia and Herzegovina,9.2,8.6,8.3,8.2,8.2,8.3,8.3,8.3,8.1,7.8,7.4,6.9,,6.5,6.1,5.7,5.4
Botswana,82.9,81.6,79.8,78.1,75.8,69.0,63.4,62.6,61.7,57.3,53.5,51.8,,49.5,46.6,44.8,43.6
Brazil,32.0,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,,16.0,16.0,16.2,16.4
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Brunei Darussalam,9.4,9.3,9.2,9.1,9.1,9.0,9.0,9.0,9.0,9.1,9.3,9.5,,9.7,9.9,10.1,10.2
Bulgaria,21.0,20.1,19.2,18.1,17.0,15.9,15.0,14.2,13.7,13.3,13.0,12.6,,12.0,11.5,10.9,10.4
Burkina Faso,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,,101.4,96.6,92.4,88.6
Burundi,152.2,147.8,143.2,138.3,133.0,127.1,120.9,114.5,108.6,103.5,98.8,94.9,,91.2,87.8,84.6,81.7
Cabo Verde,35.5,32.2,29.9,28.5,27.8,27.7,27.9,28.1,28.2,28.1,27.8,27.3,,26.6,25.9,25.2,24.5
Cambodia,108.3,98.7,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,,35.8,32.9,30.6,28.7
Cameroon,150.4,145.7,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109.0,104.8,101.0,,97.4,93.9,90.6,87.9
Canada,6.2,6.2,6.2,6.1,6.1,6.1,6.0,5.9,5.8,5.7,5.6,5.4,,5.3,5.2,5.0,4.9
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Central African Republic,174.8,173.5,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,,142.1,138.5,134.0,130.1
Chad,190.2,187.3,184.6,181.9,179.4,177.0,174.6,171.5,168.0,164.0,160.1,156.0,,151.6,147.1,142.9,138.7
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Chile,10.9,10.3,9.8,9.5,9.3,9.1,9.0,8.9,8.9,8.8,8.8,8.7,,8.6,8.4,8.3,8.1
China,36.9,34.3,31.6,28.9,26.3,24.0,21.9,20.1,18.5,17.0,15.7,14.5,,13.4,12.3,11.4,10.7
Colombia,25.1,24.3,23.6,22.9,22.2,21.5,20.9,20.3,19.7,19.1,18.5,18.0,,17.4,16.9,16.4,15.9
Comoros,101.1,100.8,100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86.0,83.3,,80.9,78.3,75.9,73.5
"Congo, Dem. Rep.",161.0,156.8,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,,108.5,104.8,101.7,98.3
"Congo, Rep.",121.6,119.7,115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,,52.6,49.6,47.1,45.0
Costa Rica,13.0,12.2,11.6,11.0,10.7,10.4,10.3,10.3,10.3,10.2,10.2,10.1,,10.1,10.0,9.9,9.7
Cote d'Ivoire,145.6,142.8,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,,102.5,99.0,95.5,92.6
Croatia,8.3,8.0,7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.1,,4.9,4.7,4.5,4.3
Cuba,8.4,8.0,7.7,7.4,7.1,6.8,6.6,6.4,6.3,6.2,6.1,6.0,,5.8,5.7,5.6,5.5
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Cyprus,6.6,6.1,5.8,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.4,,3.2,3.0,2.9,2.7
Czech Republic,6.6,6.2,6.0,5.7,5.5,5.2,5.0,4.7,4.5,4.3,4.1,3.9,,3.8,3.7,3.5,3.4
Denmark,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4.0,3.9,,3.8,3.7,3.6,3.5
Djibouti,100.8,98.4,96.0,93.5,91.0,88.5,86.0,83.5,81.0,78.5,76.1,73.9,,71.7,69.5,67.4,65.3
Dominica,15.3,15.2,15.1,15.1,15.3,15.6,16.0,16.5,17.1,17.9,18.8,19.6,,20.4,21.0,21.2,21.2
Dominican Republic,41.3,40.1,39.1,38.3,37.5,36.8,36.1,35.5,34.9,34.3,33.8,33.3,,32.7,32.2,31.5,30.9
Ecuador,34.4,33.1,31.9,30.9,30.0,29.1,28.3,27.5,26.8,26.0,25.2,24.5,,23.7,23.0,22.3,21.6
"Egypt, Arab Rep.",46.5,43.8,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29.0,27.9,,26.8,25.8,24.8,24.0
El Salvador,32.4,30.6,29.0,27.5,26.1,24.8,23.6,22.6,21.6,20.8,20.0,19.3,,18.6,18.0,17.4,16.8
Equatorial Guinea,152.1,147.9,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,,103.7,100.3,97.4,94.1
Eritrea,89.1,84.6,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,,51.6,49.7,48.1,46.5
Estonia,11.0,10.2,9.4,8.6,7.9,7.3,6.7,6.1,5.5,5.1,4.6,4.2,,3.8,3.5,3.2,2.9
Ethiopia,145.1,139.0,132.2,124.8,117.0,109.1,101.3,93.8,86.9,80.8,75.7,71.3,,67.7,64.6,61.8,59.2
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Fiji,24.5,24.2,23.9,23.7,23.7,23.7,23.8,23.9,24.0,24.0,23.9,23.7,,23.5,23.2,22.9,22.4
Finland,4.3,4.2,4.1,4.0,3.9,3.8,3.6,3.5,3.3,3.2,3.0,2.9,,2.7,2.6,2.4,2.3
France,5.4,5.3,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,,4.3,4.4,4.4,4.3
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Gabon,85.3,84.0,82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,,57.7,54.8,52.3,50.8
"Gambia, The",118.8,114.5,110.2,106.0,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,,76.1,73.6,71.1,68.9
Georgia,35.7,33.4,31.1,28.9,26.7,24.6,22.7,20.9,19.3,17.9,16.6,15.5,,14.4,13.4,12.6,11.9
Germany,5.4,5.2,5.1,5.0,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,,4.0,3.9,3.8,3.7
Ghana,100.7,97.3,94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,,69.2,66.5,64.0,61.6
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Greece,7.8,7.3,6.8,6.3,5.9,5.5,5.2,5.0,4.8,4.8,4.7,4.7,,4.7,4.7,4.6,4.6
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Grenada,16.0,15.6,15.2,14.9,14.5,14.2,14.0,13.7,13.5,13.4,13.2,13.0,,12.7,12.5,12.2,11.8
Guam,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Guatemala,50.6,48.6,46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,,32.1,31.1,30.1,29.1
Guinea,170.2,162.9,155.8,149.0,142.7,136.7,131.2,125.9,121.0,116.3,111.9,107.7,,104.0,100.4,97.0,93.7
